Flight No.,UTC Clock,"Version, Booster",Launch Site,Payload Name,Payload Mass,Payload Type,Payload Orbit,Customer Name,Customer Type,Customer Country,Lauching Outcome,Launching Failure Reason,Landing Outcome,Landing Type,Landing Failure Reason,Description
F1-1,"March 24, 2006",,Marshall Islands,FalconSAT-2,19.5,Research Satellite,,DARPA,Government,United States,Failure,Engine Fire During Launch,,,,
F1-2,"March 21, 2007",,Marshall Islands,DemoSat,,,,DARPA,Government,United States,Failure,Engine Shutdown During Launch,,,,
F1-3,"August 3, 2008",,Marshall Islands,Trailblazer,,Communication Satellite,,ORS,Government,United States,Failure,Collision During Launch,,,,
F1-3,"August 3, 2008",,Marshall Islands,"PRESat, NanoSail-D",8,Research Satellites,,NASA,Government,United States,Failure,Collision During Launch,,,,
F1-3,"August 3, 2008",,Marshall Islands,Explorers,,Human Remains,,Celestis,Business,United States,Failure,Collision During Launch,,,,
F1-4,"September 28, 2008",,Marshall Islands,RatSat (DemoSat),165,,LEO,SpaceX,,,Success,,,,,
F1-5,"July 14, 2009",,Marshall Islands,RazakSAT,180,Weather Satellite,LEO,ATSB,Government,Malaysia,Success,,,,,
F9-1,"June 4, 2010, 18:45","F9 v1.0, B0003",CCAFS LC-40,Dragon Spacecraft Qualification Unit,,,LEO,SpaceX,,,Success,,Failure,parachute,,First flight of Falcon 9 v1.0 Used a boilerplate version of Dragon capsule which was not designed to separate from the second stage.
F9-2,"December 8, 2010, 15:43","F9 v1.0, B0004",CCAFS LC-40,"Dragon demo flight C1, two CubeSats, barrel of Brouère cheese",,,LEO (ISS),NASA (COTS) NRO,,,Success,,Failure,parachute,,"Maiden flight of Dragon capsule, consisting of over 3 hours of testing thruster maneuvering and reentry."
F9-3,"May 22, 2012, 07:44","F9 v1.0, B0005",CCAFS LC-40,Dragon demo flight C2+,"525 kg(1,157 lb)",,LEO (ISS),NASA (COTS),,,Success,,No attempt,,,Dragon spacecraft demonstrated a series of tests before it was allowed to approach the ISS. Two days later it became the first commercial spacecraft to board the ISS.
F9-4,"October 8, 2012, 00:35","F9 v1.0, B0006",CCAFS LC-40,Primary payload: SpaceX CRS-1,"500 kg(1,100 lb)",,LEO (ISS),NASA (CRS),,,Success,,No attempt,,,"CRS-1 was successful, but the secondary payload was inserted into abnormally low orbit and subsequently lost. This was due to one of the nine Merlin engines shutting down during the launch, and as per ISS visiting vehicle safety rules, the primary payload owner, NASA, was contractually allowed to decline a second reignition. It was the first time SpaceX produced a webcast for one of their own launches."
F9-4,"October 8, 2012, 00:35","F9 v1.0, B0006",CCAFS LC-40,Secondary payload: Orbcomm-OG2,172 kg(379 lb),,LEO,Orbcomm,,,Partial failure,,No attempt,,,"CRS-1 was successful, but the secondary payload was inserted into abnormally low orbit and subsequently lost. This was due to one of the nine Merlin engines shutting down during the launch, and as per ISS visiting vehicle safety rules, the primary payload owner, NASA, was contractually allowed to decline a second reignition. It was the first time SpaceX produced a webcast for one of their own launches."
F9-5,"March 1, 2013, 15:10","F9 v1.0, B0007",CCAFS LC-40,SpaceX CRS-2,"677 kg(1,493 lb)",,LEO (ISS),NASA (CRS),,,Success,,No attempt,,,"Last launch of the original Falcon 9 v1.0 launch vehicle, first use of the unpressurized trunk section of Dragon."
F9-6,"September 29, 2013, 16:00","F9 v1.1, B1003",VAFB SLC-4E,CASSIOPE,"500 kg(1,100 lb)",,Polar LEO,MDA,,,Success,,Uncontrolled,ocean,,"First commercial mission with a private customer, first launch from Vandenberg, and demonstration flight of Falcon 9 v1.1 with an improved 13-tonne to LEO capacity. After separation from the second stage carrying Canadian commercial and scientific satellites, the first stage booster performed a controlled reentry, and an ocean touchdown test for the first time.  This provided good test data, even though the booster started rolling as it neared the ocean, leading to the shutdown of the central engine as centrifugal forces depleted it of fuel, and hard impact with the ocean."
F9-7,"December 3, 2013, 22:41",F9 v1.1,CCAFS LC-40,SES-8,"3,170 kg(6,990 lb)",,GTO,SES,,,Success,,No attempt,,,"First GTO launch for Falcon 9, and first successful reignition of the second stage."
F9-8,"January 6, 2014, 22:06",F9 v1.1,CCAFS LC-40,Thaicom 6,"3,325 kg(7,330 lb)",,GTO,Thaicom,,,Success,,No attempt,,,"The Thai communication satellite was the second GTO launch for Falcon 9. The USAF evaluated launch data from this flight as part of a separate certification program for SpaceX to qualify to fly military payloads, but found that the launch had ""unacceptable fuel reserves at engine cutoff of the stage 2 second burnoff"".[42]"
F9-9,"April 18, 2014, 19:25",F9 v1.1,CCAFS LC-40,SpaceX CRS-3,"2,296 kg(5,062 lb)",,LEO (ISS),NASA (CRS),,,Success,,Controlled,ocean,,"Following second-stage separation, SpaceX conducted a second controlled-descent test of the discarded booster vehicle and achieved the first successful controlled ocean touchdown of a liquid-rocket-engine orbital booster.[45][46] Following the soft touchdown, the first stage tipped over as expected and was destroyed. This was the first Falcon 9 booster to fly with extensible landing legs and the first Dragon mission with the Falcon 9 v1.1 launch vehicle."
F9-10,"July 14, 2014, 15:15",F9 v1.1,CCAFS LC-40,Orbcomm-OG2-1  (6 satellites),"1,316 kg(2,901 lb)",,LEO,Orbcomm,,,Success,,Controlled,ocean,,"Payload included 6 satellites weighing 172 kg each and two 142-kg mass simulators.[23][48] Equipped for the second time with landing legs, the first-stage booster successfully conducted a controlled-descent test consisting of a burn for deceleration from hypersonic velocity in the upper atmosphere, a reentry burn, and a final landing burn before soft-landing on the ocean surface.[49]"
F9-11,"August 5, 2014, 08:00",F9 v1.1,CCAFS LC-40,AsiaSat 8,"4,535 kg(9,998 lb)",,GTO,AsiaSat,,,Success,,No attempt ,,,First time SpaceX managed a launch site turnaround between two flights of under a month (22 days).  GTO launch of the large communication satellite from Hong Kong did not allow for propulsive return-over-water and controlled splashdown of the first stage.[53]
F9-12,"September 7, 2014, 05:00",F9 v1.1 B1011,CCAFS LC-40,AsiaSat 6,"4,428 kg(9,762 lb)",,GTO,AsiaSat,,,Success,,No attempt,,,Launch was delayed for two weeks for additional verifications after a malfunction observed in the development of the F9R Dev1 prototype.[56] GTO launch of the heavy payload did not allow for controlled splashdown.[57]
F9-13,"September 21, 2014, 05:52",F9 v1.1 B1010,CCAFS LC-40,SpaceX CRS-4,"2,216 kg(4,885 lb)",,LEO (ISS),NASA (CRS),,,Success,,Uncontrolled,ocean,,"Fourth attempt of a soft ocean touchdown,[61] but the booster ran out of liquid oxygen.[60]  Detailed thermal imaging infrared sensor data was collected however by NASA, as part of a joint arrangement with SpaceX as part of research on retropropulsive deceleration technologies for developing new approaches to Martian atmospheric entry.[61]"
F9-14,"January 10, 2015, 09:47",F9 v1.1 B1012,CCAFS LC-40,SpaceX CRS-5,"2,395 kg(5,280 lb)",,LEO (ISS),NASA (CRS),,,Success,,Failure,drone ship,,"Following second-stage separation, SpaceX attempted to return the first stage for the first time to a 90-by-50-meter (300 ft × 160 ft) floating platform—called the autonomous spaceport drone ship.  The test achieved many objectives and returned a large amount of data, but the grid-fin control surfaces used for the first time for more precise reentry positioning ran out of hydraulic fluid for its control system a minute before landing, resulting in a landing crash."
F9-15,"February 11, 2015, 23:03",F9 v1.1 B1013,CCAFS LC-40,DSCOVR,"570 kg(1,260 lb)",,HEO for Sun–Earth L1 insertion,U.S. Air Force  NASA NOAA,,,Success,,Controlled,ocean,,"First launch under USAF's OSP 3 launch contract. First SpaceX launch to put a satellite beyond a geostationary transfer orbit, first SpaceX launch into interplanetary space, and first SpaceX launch of an American research satellite. The first stage made a test flight descent to an over-ocean landing within 10 m (33 ft) of its intended target."
F9-16,"March 2, 2015, 03:50",F9 v1.1 B1014,CCAFS LC-40,ABS-3A Eutelsat 115 West B,"4,159 kg(9,169 lb)",,GTO,ABS Eutelsat,,,Success,,No attempt,,,"The launch was Boeing's first-ever conjoined launch of a lighter-weight dual-commsat stack that was specifically designed to take advantage of the lower-cost SpaceX Falcon 9 launch vehicle. Per satellite, launch costs were less than $30 million.  The ABS satellite reached its final destination ahead of schedule and started operations on September 10."
F9-17,"April 14, 2015, 20:10",F9 v1.1 B1015,CCAFS LC-40,SpaceX CRS-6,"1,898 kg(4,184 lb)",,LEO (ISS),NASA (CRS),,,Success,,Failure,drone ship,,"After second-stage separation, a controlled-descent test was attempted with the first stage. After the booster contacted the ship, it tipped over due to excess lateral velocity caused by a stuck throttle valve that delayed downthrottle at the correct time."
F9-18,"April 27, 2015, 23:03",F9 v1.1 B1016,CCAFS LC-40,TürkmenÄlem 52°E / MonacoSAT,"4,707 kg(10,377 lb)",,GTO,Turkmenistan National Space Agency[85],,,Success,,No attempt,,,Original intended launch was delayed over a month after an issue with the helium pressurisation system was identified on similar parts in the assembly plant. Subsequent launch successfully positioned this first Turkmen satellite at 52°E.
F9-19,"June 28, 2015, 14:21",F9 v1.1  B1018,CCAFS LC-40,SpaceX CRS-7,"1,952 kg(4,303 lb)",,LEO (ISS),NASA (CRS),,,Failure,in flight,Precluded,drone ship,,"Launch performance was nominal until an overpressure incident in the second-stage LOX tank, leading to vehicle breakup at T+150 seconds. Dragon capsule survived the explosion but was lost upon splashdown as its software did not contain provisions for parachute deployment on launch vehicle failure."
FT-1,"December 22, 2015, 01:29",F9 FT  B1019,CCAFS LC-40,Orbcomm-OG2-2  (11 satellites),"2,034 kg(4,484 lb)",,LEO,Orbcomm,,,Success,,Success,ground pad,,"Payload included eleven satellites weighing 172 kg each, and a 142-kg mass simulator. First launch of the upgraded v1.1 version (later called Falcon 9 Full Thrust), with a 30% power increase. Orbcomm had originally agreed to be the third flight of the enhanced-thrust rocket, but the change to the maiden flight position was announced in October 2015. SpaceX received a permit from the FAA to land the booster on solid ground at Cape Canaveral and succeeded for the first time. This booster, serial number B1019, is now on permanent display outside SpaceX's headquarters in Hawthorne, California, at the intersection of Crenshaw Boulevard and Jack Northrop Avenue."
F9-20,"January 17, 2016, 18:42",F9 v1.1 B1017,VAFB SLC-4E,Jason-3,"553 kg(1,219 lb)",,LEO,NASA (LSP) NOAA CNES,,,Success,,Failure ,drone ship,,"First launch of NASA and NOAA joint science mission under the NLS II launch contract (not related to NASA CRS or USAF OSP3 contracts) and last launch of the Falcon 9 v1.1 launch vehicle. The Jason-3 satellite was successfully deployed to target orbit. SpaceX attempted for the first time to recover the first-stage booster on its new Pacific autonomous drone ship, but after a soft landing on the ship, the lockout on one of the landing legs failed to latch and the booster fell over and exploded."
FT-2,"March 4, 2016, 23:35",F9 FT  B1020,CCAFS LC-40,SES-9,"5,271 kg(11,621 lb)",,GTO,SES,,,Success,,Failure,drone ship,,"Second launch of the enhanced Falcon 9 Full Thrust launch vehicle. SpaceX attempted for the first time to recover a booster from a GTO launch to a drone ship. Successful landing was not expected due to low fuel reserves and the booster ""landed hard"". But the controlled-descent, atmospheric re-entry and navigation to the drone ship were successful and returned significant test data on bringing back high-energy Falcon 9 boosters."
FT-3,"April 8, 2016, 20:43",F9 FT  B1021.1,CCAFS LC-40,SpaceX CRS-8,"3,136 kg(6,914 lb)",,LEO (ISS),NASA (CRS),,,Success,,Success,drone ship,,"Dragon carried over 1500 kg of supplies and delivered the inflatable Bigelow Expandable Activity Module (BEAM) to the ISS for two years of in-orbit tests. The rocket's first stage landed smoothly on SpaceX's autonomous spaceport drone ship at 9 minutes after liftoff, making this the first ever successful landing of a rocket booster on a ship at sea from an orbital launch. The first stage B1021 later became the first orbital booster to be reused when it launched SES-10 on March 30, 2017. A month later, the Dragon spacecraft returned a downmass containing astronaut's Scott Kelly biological samples from his year-long mission on ISS."
FT-4,"May 6, 2016, 05:21",F9 FT  B1022,CCAFS LC-40,JCSAT-14,"4,696 kg(10,353 lb)",,GTO,SKY Perfect JSAT Group,,,Success,,Success,drone ship,,"First time SpaceX launched a Japanese satellite, and first time a booster landed successfully after launching a payload into a GTO. As this flight profile has a smaller margin for the booster recovery, the first stage re-entered Earth's atmosphere faster than for previous landings, with five times the heating power."
FT-5,"May 27, 2016, 21:39",F9 FT  B1023.1,CCAFS LC-40,Thaicom 8,"3,100 kg(6,800 lb)",,GTO,Thaicom,,,Success,,Success,drone ship,,"Second successful return from a GTO launch, after launching Thaicom 8 towards 78.5° E. Later became the first booster to be reflown after being recovered from a GTO launch."
FT-6,"June 15, 2016, 14:29",F9 FT  B1024,CCAFS LC-40,ABS-2A Eutelsat 117 West B,"3,600 kg(7,900 lb)",,GTO,ABS Eutelsat,,,Success,,Failure,drone ship,,"One year after pioneering this technique on Flight 16, Falcon again launched two Boeing 702SP gridded ion thruster satellites in a dual-stack configuration, with the two customers sharing the rocket and mission costs. First-stage landing attempt on drone ship failed due to low thrust on one of the three landing engines; a sub-optimal path led to the stage running out of propellant just above the deck of the landing ship."
FT-7,"July 18, 2016, 04:45",F9 FT  B1025.1,CCAFS LC-40,SpaceX CRS-9,"2,257 kg(4,976 lb)",,LEO (ISS),NASA (CRS),,,Success,,Success,ground pad,,"Cargo to ISS included an International Docking Adapter (IDA-2) and total payload with reusable Dragon Capsule was 6,457 kilograms (14,235 lb).  Second successful first-stage landing on a ground pad."
FT-8,"August 14, 2016, 05:26",F9 FT  B1026,CCAFS LC-40,JCSAT-16,"4,600 kg(10,100 lb)",,GTO,SKY Perfect JSAT Group,,,Success,,Success,drone ship,,"First attempt to land from a ballistic trajectory using a single-engine landing burn, as all previous landings from a ballistic trajectory had fired three engines on the final burn. The latter provides more braking force but subjects the vehicle to greater structural stresses, while the single-engine landing burn takes more time and fuel while allowing more time during final descent for corrections."
FT-9,"September 3, 2016, 13:07",F9 FT  B1028,CCAFS LC-40,,,,,,,,,,,,,
FT-10,"January 14, 2017, 17:54",F9 FT  B1029.1,VAFB SLC-4E,Iridium NEXT-1  (10 satellites),"9,600 kg(21,200 lb)",,Polar LEO,Iridium Communications,,,Success,,Success,drone ship,,"Return-to-flight mission after the loss of Amos-6 in September 2016. This was the first launch of a series of Iridium NEXT satellites intended to replace the original Iridium constellation launched in the late 1990s. Each Falcon 9 mission carried 10 satellites, with a goal of 66 plus 9 spare[149] satellites constellation by mid-2018.[150][151] Following the delayed launch of the first two Iridium units with a Dnepr rocket from April 2016, Iridium Communications decided to launch the first batch of 10 satellites with SpaceX instead.[152] Payload comprised ten satellites weighing 860 kg each plus a 1,000-kg dispenser.[153]"
FT-11,"February 19, 2017, 14:39",F9 FT  B1031.1,KSC LC-39A,SpaceX CRS-10,"2,490 kg(5,490 lb)",,LEO (ISS),NASA (CRS),,,Success,,Success  ,ground pad,,"First Falcon 9 flight from the historic LC-39A launchpad at Kennedy Space Center, carrying supplies and materials to support ISS Expeditions 50 and 51, and third return of first stage booster to landing pad at Cape Canaveral LZ-1.[155]"
FT-12,"March 16, 2017, 06:00",F9 FT  B1030,KSC LC-39A,EchoStar 23,"5,600 kg(12,300 lb)",,GTO,EchoStar,,,Success,,No attempt,,,"Launched a communications satellite for broadcast services over Brazil.[159] Due to the payload size launch into a GTO, the booster was expended into the Atlantic and did not feature landing legs and grid fins.[160]"
FT-13,"March 30, 2017, 22:27",F9 FT  B1021.2,KSC LC-39A,SES-10,"5,300 kg(11,700 lb)",,GTO,SES,,,Success,,Success  ,drone ship,,"First payload to fly on a reused first stage, B1021, previously launched with CRS-8, and first to land intact a second time.[164][163] Additionally, for the first time the payload fairing remained intact after a successful splashdown achieved with thrusters and a steerable parachute.[165][166] (more details below)"
FT-14,"May 1, 2017, 11:15",F9 FT  B1032.1,KSC LC-39A,NROL-76,Classified,,LEO[168],NRO,,,Success,,Success  ,ground pad,,"First launch under SpaceX's 2015 certification for national security space missions, which allowed SpaceX to contract launch services for classified payloads,[169] and thus breaking the monopoly ULA held on classified launches since 2006.[170] For the first time, SpaceX offered continuous livestream of first stage booster from liftoff to landing, but omitted second-stage speed and altitude telemetry.[171]"
FT-15,"May 15, 2017, 23:21",F9 FT  B1034,KSC LC-39A,Inmarsat-5 F4,"6,070 kg(13,380 lb)",,GTO,Inmarsat,,,Success,,No attempt,,,"The launch was originally scheduled for the Falcon Heavy, but performance improvements allowed the mission to be carried out by an expendable Falcon 9 instead.[175]"
FT-16,"June 3, 2017, 21:07",F9 FT  B1035.1,KSC LC-39A,SpaceX CRS-11,"2,708 kg(5,970 lb)",,LEO (ISS),NASA (CRS),,,Success,,Success  ,ground pad,,"This mission delivered NICER,[178] MUSES[179] ROSA[180] and an Advanced Plant Habitat to the ISS.[181][182] This mission launched for the first time a refurbished Dragon capsule,[183] serial number C106, which had flown in September 2014 on the CRS-4 mission,[176] and was the first time since 2011 a reused spacecraft arrived at the ISS.[184]  Five cubesats were included in the payload, the first satellites from the countries of Bangladesh (BRAC ONNESHA), Ghana (GhanaSat-1), and Mongolia (Mazaalai).[185]"
FT-17,"June 23, 2017, 19:10",F9 FT  B1029.2,KSC LC-39A,BulgariaSat-1,"3,669 kg(8,089 lb)",,GTO,Bulsatcom,,,Success,,Success  ,drone ship,,"Second time a booster was reused, as B1029 had flown the Iridium mission in January 2017.[186] This was the first commercial Bulgarian-owned communications satellite.[186]"
FT-18,"June 25, 2017, 20:25",F9 FT  B1036.1,VAFB SLC-4E,Iridium NEXT-2  (10 satellites),"9,600 kg(21,200 lb)",,LEO,Iridium Communications,,,Success,,Success  ,drone ship,,"Second Iridium constellation launch of 10 satellites, and first flight using titanium (instead of aluminium) grid fins to improve control authority and better cope with heat during re-entry.[190]"
FT-19,"July 5, 2017 23:38",F9 FT  B1037,KSC LC-39A,Intelsat 35e,"6,761 kg(14,905 lb)",,GTO,Intelsat,,,Success,,No attempt,,,"Originally expected to be flown on a Falcon Heavy,[194] improvements to the Merlin engines meant that the heavy satellite could be flown to GTO in an expendable configuration of Falcon 9.[195] The rocket achieved a super-synchronous orbit peaking at 43,000 km (27,000 mi), exceeding the minimum requirements of 28,000 km (17,000 mi).[196]"
